# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DPYD-AS1	DPYD-AS1	NR_046590.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DPYS	DPYS	NM_001385.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DPYSL4	DPYSL4	NM_006426.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DRD3	DRD3	NM_000796.6	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DRD3	DRD3	NM_001282563.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DRD3	DRD3	NM_001290809.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DRD3	DRD3	NM_033663.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DROSHA	DROSHA	NM_001100412.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DROSHA	DROSHA	NM_013235.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DSCAM	DSCAM	NM_001271534.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DSCAM	DSCAM	NM_001389.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DSCAM	DSCAM	NR_073202.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DSCAML1	DSCAML1	NM_001367905.1	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
DST	DST	NM_001144769.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DST	DST	NM_001144770.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DST	DST	NM_015548.5	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DST	DST	NM_183380.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001128175.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001198938.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001198939.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001198940.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001198945.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_001392.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_032975.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNA	DTNA	NM_032979.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001256303.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001256304.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001256308.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320932.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320933.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320934.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320935.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320936.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001320937.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351381.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351382.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351383.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351384.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351385.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351386.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351387.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351388.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351389.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351390.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351391.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351392.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351393.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351394.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_001351395.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_021907.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_033147.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_033148.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_183360.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NM_183361.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNB	DTNB	NR_147180.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NM_001271667.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NM_001271668.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NM_001271669.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NM_032122.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NM_183040.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTNBP1	DTNBP1	NR_036448.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11	NR_023383.1		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DUS1L	DUS1L	NM_022156.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DUS4L-BCAP29	DUS4L-BCAP29	NM_001371364.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NM_001371365.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NM_001371366.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NM_001371367.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NR_163939.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NR_163940.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DUS4L-BCAP29	DUS4L-BCAP29	NR_163941.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DUSP15	DUSP15	NM_001012644.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUSP15	DUSP15	NM_001320478.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUSP15	DUSP15	NM_001320479.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUSP15	DUSP15	NM_080611.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUSP15	DUSP15	NM_177991.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DUSP16	DUSP16	NM_030640.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
DUXAP8	DUXAP8	NR_122113.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC1	DYDC1	NM_001269053.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC1	DYDC1	NM_001370155.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC1	DYDC1	NM_001370156.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC1	DYDC1	NM_001370157.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC1	DYDC1	NM_138812.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC2	DYDC2	NM_001270041.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DYDC2	DYDC2	NM_001270042.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC2	DYDC2	NM_032372.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DYDC2	DYDC2	NR_070308.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYDC2	DYDC2	NR_070309.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYNC1I1	DYNC1I1	NM_001135556.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DYNC1I1	DYNC1I1	NM_001135557.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DYNC1I1	DYNC1I1	NM_001278421.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DYNC1I1	DYNC1I1	NM_001278422.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DYNC1I1	DYNC1I1	NM_004411.4	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DYNC1LI1	DYNC1LI1	NM_001329135.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYNC1LI1	DYNC1LI1	NM_016141.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYNC1LI2	DYNC1LI2	NM_001286157.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DYNC1LI2	DYNC1LI2	NM_001323955.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DYNC1LI2	DYNC1LI2	NM_006141.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DYNC1LI2	DYNC1LI2	NR_136658.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130455.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130976.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130977.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130978.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130979.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130980.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130981.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130982.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130983.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130984.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130985.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130986.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_001130987.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYSF	DYSF	NM_003494.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYTN	DYTN	NM_001093730.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EAPP	EAPP	NM_001318916.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EAPP	EAPP	NM_018453.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001290360.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324101.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324103.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324106.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324107.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324108.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324109.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001324111.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001364155.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001364156.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001364157.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001364158.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_001364159.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_024007.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF1	EBF1	NM_182708.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EBF3	EBF3	NM_001005463.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECE1	ECE1	NM_001113347.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECE1	ECE1	NM_001113348.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECE1	ECE1	NM_001113349.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECE1	ECE1	NM_001397.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECI1	ECI1	NM_001178029.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECI1	ECI1	NM_001919.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECI2	ECI2	NM_001166010.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ECI2	ECI2	NM_006117.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ECI2	ECI2	NM_206836.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ECI2	ECI2	NR_028588.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ECI2-DT	ECI2-DT	NR_103764.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA	EDA	NM_001005609.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA	EDA	NM_001005610.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA	EDA	NM_001005612.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA	EDA	NM_001005613.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA	EDA	NM_001399.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001199687.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001242310.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EDA2R	EDA2R	NM_001324199.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001324201.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001324202.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001324204.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001324205.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_001324206.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NM_021783.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NR_136726.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDA2R	EDA2R	NR_136727.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDARADD	EDARADD	NM_080738.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDARADD	EDARADD	NM_145861.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EDIL3	EDIL3	NM_001278642.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
EDIL3	EDIL3	NM_005711.5	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
EDNRB-AS1	EDNRB-AS1	NR_103853.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EEF1A2	EEF1A2	NM_001958.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EFCAB2	EFCAB2	NM_001143943.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EFCAB2	EFCAB2	NM_001290327.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EFCAB2	EFCAB2	NM_032328.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EFCAB2	EFCAB2	NR_026587.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EFNA5	EFNA5	NM_001962.3	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
EGFL6	EGFL6	NM_001167890.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EGFL6	EGFL6	NM_015507.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EGFLAM	EGFLAM	NM_001205301.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EGFLAM	EGFLAM	NM_152403.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EHBP1	EHBP1	NM_001142614.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001142615.3	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001142616.3	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354212.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354213.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354214.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354215.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354216.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354217.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354218.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354219.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354220.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354221.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_001354222.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHBP1	EHBP1	NM_015252.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHD1	EHD1	NM_001282444.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHD1	EHD1	NM_001282445.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHD1	EHD1	NM_006795.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_001145527.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_001354259.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_001354263.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_001354611.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_001354612.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EHMT1	EHMT1	NM_024757.5	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EI24	EI24	NM_001290135.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EI24	EI24	NM_001330419.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EI24	EI24	NM_004879.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EI24	EI24	NR_110769.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EI24	EI24	NR_110770.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF2B3	EIF2B3	NM_001166588.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF2B3	EIF2B3	NM_001261418.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF2B3	EIF2B3	NM_020365.5	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF3D	EIF3D	NM_003753.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EIF3D	EIF3D	NR_156418.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
EIF3J	EIF3J	NM_001284335.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF3J	EIF3J	NM_001284336.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF3J	EIF3J	NM_003758.4	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EIF3J-DT	EIF3J-DT	NR_034170.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF3J-DT	EIF3J-DT	NR_034171.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF3M	EIF3M	NM_001307929.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
